Treatment,SRBC_cells,,,
Norepinephrin,15,,,
Norepinephrin,155,,,
Norepinephrin,110,,,
Norepinephrin,90,,,
Norepinephrin,35,,,
Norepinephrin,100,,,
Norepinephrin,30,,,
Norepinephrin,40,,,
Norepinephrin,75,,,
Norepinephrin,105,,,
Epinephrin,70,,,
Epinephrin,45,,,
Epinephrin,95,,,
Epinephrin,95,,,
Epinephrin,70,,,
Epinephrin,315,,,
Epinephrin,140,,,
Epinephrin,260,,,
Epinephrin,230,,,
Epinephrin,400,,,
Control,535,,,
Control,370,,,
Control,420,,,
Control,315,,,
Control,485,,,
Control,230,,,
Control,370,,,
Control,320,,,
Control,335,,,
Control,475,,,
