Group,Response
Normal,156
Normal,282
Normal,197
Normal,297
Normal,116
Normal,127
Normal,119
Normal,29
Normal,253
Normal,122
Normal,349
Normal,110
Normal,143
Normal,64
Normal,26
Normal,86
Normal,122
Normal,455
Normal,655
Normal,14
Alloxan,391
Alloxan,46
Alloxan,469
Alloxan,86
Alloxan,174
Alloxan,133
Alloxan,13
Alloxan,499
Alloxan,168
Alloxan,62
Alloxan,127
Alloxan,276
Alloxan,176
Alloxan,146
Alloxan,108
Alloxan,276
Alloxan,50
Alloxan,73
Alloxan_Insulin,82
Alloxan_Insulin,100
Alloxan_Insulin,98
Alloxan_Insulin,150
Alloxan_Insulin,243
Alloxan_Insulin,68
Alloxan_Insulin,228
Alloxan_Insulin,131
Alloxan_Insulin,73
Alloxan_Insulin,18
Alloxan_Insulin,20
Alloxan_Insulin,100
Alloxan_Insulin,72
Alloxan_Insulin,133
Alloxan_Insulin,465
Alloxan_Insulin,40
Alloxan_Insulin,46
Alloxan_Insulin,34
Alloxan_Insulin,44
