Sex,Crowding,Corticosterone 
Males,Low,5
Males,Low,8
Males,Low,13
Males,Low,9
Males,Low,15
Males,Low,11
Nongravid,Low,12
Nongravid,Low,19
Nongravid,Low,15
Nongravid,Low,20
Nongravid,Low,11
Nongravid,Low,18
Gravid,Low,37
Gravid,Low,42
Gravid,Low,50
Gravid,Low,35
Gravid,Low,40
Gravid,Low,36
Males,Moderate,115
Males,Moderate,122
Males,Moderate,119
Males,Moderate,130
Males,Moderate,114
Males,Moderate,129
Nongravid,Moderate,112
Nongravid,Moderate,115
Nongravid,Moderate,121
Nongravid,Moderate,117
Nongravid,Moderate,118
Nongravid,Moderate,120
Gravid,Moderate,157
Gravid,Moderate,160
Gravid,Moderate,173
Gravid,Moderate,182
Gravid,Moderate,168
Gravid,Moderate,170
Males,High,253
Males,High,249
Males,High,260
Males,High,257
Males,High,280
Males,High,263
Nongravid,High,219
Nongravid,High,222
Nongravid,High,218
Nongravid,High,220
Nongravid,High,223
Nongravid,High,225
Gravid,High,289
Gravid,High,273
Gravid,High,280
Gravid,High,291
Gravid,High,205
Gravid,High,296
