Treatment,Length,,,,
Chemical_A,115,,,,
Chemical_A,103,,,,
Chemical_A,98,,,,
Chemical_A,121,,,,
Chemical_A,130,,,,
Chemical_A,107,,,,
Chemical_A,106,,,,
Chemical_A,120,,,,
Chemical_A,100,,,,
Chemical_A,125,,,,
Chemical_B,120,,,,
Chemical_B,125,,,,
Chemical_B,122,,,,
Chemical_B,100,,,,
Chemical_B,90,,,,
Chemical_B,128,,,,
Chemical_B,121,,,,
Chemical_B,115,,,,
Chemical_B,130,,,,
Chemical_B,120,,,,
Control,82,,,,
Control,97,,,,
Control,105,,,,
Control,90,,,,
Control,102,,,,
Control,98,,,,
Control,105,,,,
Control,89,,,,
Control,100,,,,
Control,90,,,,
