Tobacco,Treatment,Activity,,
Strain_A,Noninfected,102,,
Strain_A,Noninfected,115,,
Strain_A,Noninfected,98,,
Strain_B,Noninfected,97,,
Strain_B,Noninfected,85,,
Strain_B,Noninfected,63,,
Strain_C,Noninfected,127,,
Strain_C,Noninfected,150,,
Strain_C,Noninfected,168,,
Strain_A,TMV,237,,
Strain_A,TMV,219,,
Strain_A,TMV,201,,
Strain_B,TMV,193,,
Strain_B,TMV,175,,
Strain_B,TMV,160,,
Strain_C,TMV,230,,
Strain_C,TMV,249,,
Strain_C,TMV,250,,
Strain_A,TRSV,117,,
Strain_A,TRSV,95,,
Strain_A,TRSV,128,,
Strain_B,TRSV,105,,
Strain_B,TRSV,60,,
Strain_B,TRSV,91,,
Strain_C,TRSV,135,,
Strain_C,TRSV,145,,
Strain_C,TRSV,170,,
