Diet,Stress,Gain
Junk,Low,132
Junk,Low,128
Junk,Low,142
Junk,Low,131
Junk,Low,135
Junk,Low,120
Junk,Low,139
Junk,Low,133
Control,Low,120
Control,Low,131
Control,Low,122
Control,Low,129
Control,Low,120
Control,Low,119
Control,Low,134
Control,Low,123
Junk,High,157
Junk,High,143
Junk,High,162
Junk,High,150
Junk,High,149
Junk,High,140
Junk,High,159
Junk,High,158
Control,High,130
Control,High,142
Control,High,131
Control,High,124
Control,High,124
Control,High,131
Control,High,143
Control,High,131
